Open,High,Low,Close,Percent Change,Volume,SMA10,WMA10,RSI14
252.0,255.0,251.0,254.0,1.2,16686.0,252.1,252.5090909090909,51.12295478459425
255.0,255.0,246.0,248.0,-2.36,18710.0,252.0,251.76363636363635,40.857727697314914
245.0,248.0,242.0,245.0,-1.21,18061.0,252.0,250.4909090909091,36.87120175294114
249.0,252.0,249.0,251.0,2.45,10694.0,251.7,250.3090909090909,47.83402460443573
253.0,255.0,250.0,252.0,0.4,7967.0,251.1,250.36363636363637,49.41085733789464
254.0,254.0,249.0,249.0,-1.19,11610.0,250.4,249.98181818181817,45.01483495581847
248.0,251.0,247.0,249.0,0.0,8778.0,250.0,249.72727272727272,45.01483495581847
253.0,256.0,247.0,248.0,-0.4,19765.0,249.8,249.36363636363637,43.518064543961486
249.0,249.0,246.0,246.0,-0.81,15697.0,249.3,248.6727272727273,40.60973033339928
244.0,246.0,242.0,243.0,-0.82,79749.0,248.5,247.52727272727273,36.6528046428306
227.0,227.0,218.0,218.0,-5.8,9431.0,244.9,241.98181818181817,19.553977176400632
219.0,221.0,218.0,220.0,0.92,7427.0,242.1,237.45454545454547,22.662292590873083
222.0,225.0,220.0,225.0,2.27,7424.0,240.1,234.34545454545454,29.949428647131175
224.0,225.0,224.0,224.0,-0.44,2204.0,237.4,231.4181818181818,29.353707219439528
225.0,227.0,224.0,224.0,0.0,6143.0,234.6,228.98181818181817,29.353707219439528
224.0,225.0,222.0,223.0,-0.45,5703.0,232.0,226.87272727272727,28.69182275728755
222.0,223.0,217.0,221.0,-0.9,17747.0,229.2,224.87272727272727,27.3629108218744
224.0,225.0,222.0,223.0,0.9,14582.0,226.7,223.74545454545455,30.813884854119202
222.0,224.0,222.0,224.0,0.45,8967.0,224.5,223.25454545454545,32.53966876625111
224.0,225.0,223.0,224.0,0.0,8416.0,222.6,223.16363636363636,32.539668766251104
223.0,224.0,222.0,222.0,-0.89,6654.0,223.0,223.05454545454546,30.75994582190079
221.0,225.0,221.0,224.0,0.9,9736.0,223.4,223.23636363636365,34.61141054213259
224.0,226.0,222.0,226.0,0.89,7306.0,223.5,223.70909090909092,38.30704318064821
225.0,226.0,224.0,226.0,0.0,4014.0,223.7,224.16363636363636,38.30704318064821
227.0,230.0,222.0,230.0,1.77,318392.0,224.3,225.3090909090909,45.4573171663889
230.0,233.0,230.0,233.0,1.3,9345.0,225.3,226.8909090909091,50.126126555488234
232.0,232.0,226.0,227.0,-2.58,9169.0,225.9,227.2,42.3231195370989
225.0,229.0,225.0,228.0,0.44,4343.0,226.4,227.5818181818182,43.89082744298593
226.0,231.0,226.0,229.0,0.44,4258.0,226.9,228.05454545454546,45.48652984099784
229.0,229.0,225.0,225.0,-1.75,22084.0,227.0,227.70909090909092,40.522249952342634
225.0,226.0,224.0,225.0,0.0,9836.0,227.3,227.34545454545454,40.522249952342634
226.0,226.0,224.0,224.0,-0.44,50427.0,227.3,226.74545454545455,39.27931962355607
224.0,234.0,224.0,233.0,4.02,159553.0,228.0,227.78181818181818,53.19421537543266
231.0,234.0,224.0,228.0,-2.15,9322.0,228.2,227.78181818181818,46.78036126222623
227.0,227.0,224.0,225.0,-1.32,94439.0,227.7,227.2,43.399153462394516
225.0,225.0,223.0,224.0,-0.44,11285.0,226.8,226.52727272727273,42.301593029823856
223.0,225.0,222.0,224.0,0.0,9354.0,226.5,226.01818181818183,42.301593029823856
224.0,224.0,222.0,223.0,-0.45,13724.0,226.0,225.38181818181818,41.096228201515174
223.0,223.0,220.0,223.0,0.0,2035.0,225.4,224.83636363636364,41.09622820151517
222.0,226.0,221.0,221.0,-0.9,11682.0,225.0,224.03636363636363,38.548414467156164
220.0,222.0,218.0,218.0,-1.36,8524.0,224.3,222.76363636363635,35.03930338683348
215.0,218.0,215.0,216.0,-0.92,10992.0,223.5,221.25454545454545,32.88976692499807
215.0,219.0,214.0,215.0,-0.46,8274.0,221.7,219.70909090909092,31.838069602093032
216.0,216.0,214.0,214.0,-0.47,9199.0,220.3,218.3090909090909,30.778187173085968
214.0,216.0,213.0,215.0,0.47,8616.0,219.3,217.34545454545454,33.1739373102803
217.0,217.0,214.0,214.0,-0.47,7566.0,218.3,216.38181818181818,31.981906222354738
214.0,214.0,212.0,213.0,-0.47,5781.0,217.2,215.4181818181818,30.7904151563749
215.0,215.0,214.0,214.0,0.47,4511.0,216.3,214.83636363636364,33.460060261549955
214.0,215.0,214.0,215.0,0.47,5175.0,215.5,214.6,36.11392144183612
215.0,217.0,214.0,217.0,0.93,5133.0,215.1,214.87272727272727,41.16780819446997
216.0,219.0,216.0,217.0,0.0,8249.0,215.0,215.21818181818182,41.16780819446997
217.0,218.0,217.0,217.0,0.0,5078.0,215.1,215.5818181818182,41.16780819446997
216.0,223.0,216.0,220.0,1.38,12372.0,215.6,216.47272727272727,48.761622197046464
219.0,228.0,217.0,224.0,1.82,346840.0,216.6,218.0,56.773252591774124
224.0,225.0,219.0,220.0,-1.79,32098.0,217.1,218.61818181818182,48.59111010351364
222.0,223.0,221.0,223.0,1.36,10769.0,218.0,219.6909090909091,53.95137083586868
223.0,228.0,221.0,224.0,0.45,16821.0,219.1,220.78181818181818,55.61275220299607
225.0,225.0,221.0,222.0,-0.89,6697.0,219.9,221.3090909090909,51.60278817947276
220.0,221.0,219.0,220.0,-0.9,5658.0,220.4,221.3272727272727,47.88447868952293
220.0,221.0,218.0,218.0,-0.91,3062.0,220.5,220.8909090909091,44.436261854539815
218.0,218.0,216.0,217.0,-0.46,5684.0,220.5,220.25454545454545,42.77755201871721
219.0,219.0,217.0,218.0,0.46,2890.0,220.6,219.8,44.988952994048034
217.0,220.0,216.0,219.0,0.46,7851.0,220.5,219.5090909090909,47.18694951287879
219.0,221.0,218.0,218.0,-0.46,25275.0,219.9,219.05454545454546,45.24030221927281
219.0,220.0,217.0,218.0,0.0,158618.0,219.7,218.70909090909092,45.24030221927281
218.0,218.0,216.0,218.0,0.0,43034.0,219.2,218.4,45.24030221927281
218.0,219.0,216.0,216.0,-0.92,3693.0,218.4,217.8181818181818,41.0138148085073
216.0,217.0,214.0,215.0,-0.46,20996.0,217.7,217.2,39.04944334172096
216.0,219.0,214.0,216.0,0.47,22126.0,217.3,216.8909090909091,42.03904723429341
216.0,220.0,216.0,217.0,0.46,5987.0,217.2,216.83636363636364,44.94709094321562
219.0,219.0,217.0,217.0,0.0,9426.0,217.2,216.8,44.94709094321562
217.0,224.0,217.0,220.0,1.38,50620.0,217.4,217.3090909090909,53.12908993302794
222.0,226.0,220.0,220.0,0.0,135864.0,217.5,217.78181818181818,53.12908993302795
220.0,231.0,220.0,230.0,4.55,878390.0,218.7,220.05454545454546,70.23217272679508
231.0,232.0,223.0,225.0,-2.17,104223.0,219.4,221.2,58.69883118050375
223.0,227.0,222.0,225.0,0.0,27174.0,220.1,222.21818181818182,58.698831180503745
229.0,230.0,225.0,230.0,2.22,88900.0,221.5,224.01818181818183,65.30635000115252
230.0,236.0,230.0,233.0,1.3,121792.0,223.3,226.1090909090909,68.55676777061605
235.0,235.0,229.0,229.0,-1.72,53476.0,224.6,227.14545454545456,60.427569152058346
233.0,238.0,229.0,236.0,3.06,60535.0,226.5,229.21818181818182,67.6555895904552
240.0,248.0,237.0,245.0,3.81,106396.0,229.3,232.5818181818182,74.18444753713256
247.0,250.0,238.0,246.0,0.41,84862.0,231.9,235.61818181818182,74.79327820773945
246.0,248.0,237.0,239.0,-2.85,64413.0,233.8,236.9090909090909,63.503277641524605
243.0,243.0,235.0,237.0,-0.84,47498.0,234.5,237.4909090909091,60.6847171135439
237.0,241.0,236.0,236.0,-0.42,19067.0,235.6,237.76363636363635,59.26824515762288
235.0,235.0,231.0,232.0,-1.69,42623.0,236.3,237.1090909090909,53.85339536906931
231.0,234.0,229.0,229.0,-1.29,21871.0,236.2,235.78181818181818,50.15253117843419
230.0,234.0,230.0,234.0,2.18,15617.0,236.3,235.38181818181818,55.62588131976673
235.0,235.0,233.0,233.0,-0.43,28362.0,236.7,234.78181818181818,54.34074155696858
229.0,235.0,229.0,230.0,-1.29,22599.0,236.1,233.56363636363636,50.566398130181774
230.0,240.0,229.0,235.0,2.17,39437.0,235.1,233.36363636363637,56.04598524686099
239.0,241.0,238.0,240.0,2.13,52734.0,234.5,234.25454545454545,60.73340173140935
243.0,244.0,239.0,240.0,0.0,81549.0,234.6,235.25454545454545,60.733401731409366
240.0,240.0,237.0,237.0,-1.25,34598.0,234.6,235.6909090909091,56.537797663883104
236.0,237.0,234.0,236.0,-0.42,12896.0,234.6,235.94545454545454,55.16965745466939
235.0,236.0,233.0,233.0,-1.27,16068.0,234.7,235.65454545454546,51.16922880174588
232.0,234.0,229.0,230.0,-1.29,10413.0,234.8,234.8,47.462890098098285
230.0,233.0,228.0,232.0,0.87,23927.0,234.6,234.29090909090908,50.05993103437768
235.0,237.0,233.0,235.0,1.29,60336.0,234.8,234.36363636363637,53.75287957510099
234.0,238.0,232.0,234.0,-0.43,22341.0,235.2,234.21818181818182,52.362891210109716
235.0,235.0,231.0,231.0,-1.28,23651.0,234.8,233.45454545454547,48.32557814779807
231.0,235.0,230.0,235.0,1.73,30616.0,234.3,233.4909090909091,53.47628267563418
238.0,241.0,234.0,241.0,2.55,55401.0,234.4,234.70909090909092,59.9284176691508
245.0,253.0,238.0,241.0,0.0,87766.0,234.8,235.9090909090909,59.9284176691508
240.0,245.0,239.0,239.0,-0.83,39728.0,235.1,236.6727272727273,56.87891876866329
240.0,244.0,237.0,240.0,0.42,50511.0,235.8,237.56363636363636,58.02892566297495
244.0,264.0,243.0,261.0,8.75,116444.0,238.9,242.14545454545456,73.81938184083752
261.0,268.0,253.0,254.0,-2.68,187340.0,241.1,244.8909090909091,65.03599860218708
250.0,261.0,250.0,259.0,1.97,57874.0,243.5,248.14545454545456,67.96780182962337
264.0,272.0,259.0,272.0,5.02,117190.0,247.3,253.3272727272727,74.05849690190996
270.0,290.0,260.0,283.0,4.04,134695.0,252.5,259.8181818181818,77.88950143911268
283.0,295.0,274.0,275.0,-2.83,172530.0,256.5,263.90909090909093,69.81445768778497
280.0,280.0,250.0,250.0,-9.09,111693.0,257.4,262.72727272727275,51.75659451516527
250.0,266.0,242.0,258.0,3.2,157937.0,259.1,262.8363636363636,55.70490492647328
255.0,259.0,248.0,249.0,-3.49,101002.0,260.1,261.0,50.679796885762116
255.0,255.0,245.0,245.0,-1.61,74262.0,260.6,258.25454545454545,48.58215703560872
242.0,242.0,227.0,227.0,-7.35,52179.0,257.2,252.14545454545456,40.465484869538585
228.0,243.0,227.0,243.0,7.05,62821.0,256.1,249.56363636363636,48.67410085093641
240.0,242.0,230.0,235.0,-3.29,96350.0,253.7,245.72727272727272,45.31013800465837
231.0,239.0,220.0,222.0,-5.53,88228.0,248.7,239.96363636363637,40.4213408558167
220.0,228.0,220.0,224.0,0.9,72127.0,242.8,235.47272727272727,41.46768289863727
220.0,224.0,217.0,218.0,-2.68,53751.0,237.1,230.96363636363637,39.241142727987246
215.0,227.0,213.0,217.0,-0.46,44558.0,233.8,227.3090909090909,38.86657490276347
213.0,222.0,210.0,219.0,0.92,72833.0,229.9,224.61818181818182,40.09810231644654
223.0,223.0,215.0,215.0,-1.83,6232.0,226.5,221.9090909090909,38.43063402681722
211.0,211.0,199.0,209.0,-2.79,13562.0,222.9,218.72727272727272,36.011547039790706
212.0,220.0,212.0,220.0,5.26,4574.0,222.2,218.2,43.08493226547442
224.0,232.0,224.0,230.0,4.55,2693.0,220.9,219.61818181818182,48.642925056709984
234.0,234.0,212.0,212.0,-7.83,5419.0,218.6,218.0,40.90050723232587
209.0,216.0,209.0,212.0,0.0,19467.0,217.6,216.8,40.90050723232587
212.0,221.0,210.0,221.0,4.25,39664.0,217.3,217.4181818181818,45.89439260900251
225.0,228.0,218.0,224.0,1.36,34825.0,217.9,218.63636363636363,47.48727175762413
222.0,225.0,216.0,217.0,-3.13,15109.0,217.9,218.47272727272727,44.21624654059218
214.0,220.0,213.0,220.0,1.38,22040.0,218.0,218.85454545454544,45.935065947879856
220.0,221.0,215.0,215.0,-2.27,17950.0,218.0,218.3090909090909,43.52780738626468
217.0,219.0,214.0,217.0,0.93,8823.0,218.8,218.12727272727273,44.7745093779464
216.0,220.0,215.0,217.0,0.0,15401.0,218.5,217.8,44.774509377946394
220.0,222.0,217.0,220.0,1.38,23399.0,217.5,218.07272727272726,46.81700629336203
219.0,231.0,219.0,230.0,4.55,53236.0,219.3,220.34545454545454,53.050306155433134
241.0,245.0,241.0,245.0,6.52,40.0,222.6,225.01818181818183,60.524275195598136
257.0,269.0,243.0,249.0,1.63,114390.0,225.4,229.8181818181818,62.25006596818005
250.0,252.0,244.0,248.0,-0.4,83098.0,227.8,233.92727272727274,61.52589573866925
250.0,250.0,236.0,239.0,-3.63,41662.0,230.0,235.96363636363637,55.29160256475299
239.0,241.0,234.0,241.0,0.84,22804.0,232.1,237.96363636363637,56.35008783804117
242.0,245.0,238.0,245.0,1.66,32942.0,235.1,240.3090909090909,58.467931779384315
